date,stock_price,stock_momentum,stock_volatility,bond_price,bond_momentum,bond_volatility,correlation
2024-06-07,100.91999816894531,0.022699613466174995,0.006896408573816453,141.88999938964844,0.02108515064923977,0.0023266684383062455,0.7631459719784345
2024-06-10,100.08999633789062,0.00200217188371421,0.007223446715637198,139.9149932861328,0.00308271623400147,0.00846434909838171,0.7554786812353097
2024-06-11,100.55000305175781,0.010146696071337002,0.007028835856878079,140.3350067138672,0.00024949152778330763,0.008116353833473925,0.5467762204524913
2024-06-12,100.52999877929688,0.008426084033695824,0.0071022516383228585,140.80999755859375,-0.0018431257682395286,0.007814605982588829,0.927977600581026
2024-06-13,101.4800033569336,0.006646223733419054,0.006524562681798494,141.9600067138672,0.0007754713120793344,0.008378946165521513,0.9125406817109364
2024-06-14,101.05000305175781,0.0012881974353078363,0.006994189675732305,142.2550048828125,0.0025724539765603627,0.008422620614951538,0.9050293067314487
2024-06-17,100.79000091552734,0.006993751655995695,0.005593210898079131,142.8249969482422,0.02079836902224108,0.002363890470871075,0.5557375711277693
2024-06-18,101.58000183105469,0.010243647419549973,0.0062092912930988495,142.44000244140625,0.014999790692503456,0.003909904996469311,0.4464764913160281
2024-06-19,101.87999725341797,0.013428812200474427,0.006081852439764869,142.6199951171875,0.012854183580541356,0.003970725360450217,-0.21880831082278004
2024-06-20,101.95999908447266,0.004729953800363784,0.00476459798844054,142.75999450683594,0.005635303995027208,0.002441809846180993,0.12272919528456383
2024-06-21,101.61000061035156,0.0055417866569178464,0.004554419542745905,142.5850067138672,0.002319790655706866,0.002564035894727695,-0.3836638590926462
2024-06-24,101.38999938964844,0.005952956331689574,0.004474828812417148,142.72000122070312,-0.0007351355139683102,0.0017406111336417296,0.2608548946449051
2024-06-25,101.54000091552734,-0.00039378730858730115,0.0026443251028358426,142.40499877929688,-0.00024574320071202305,0.001566767355580907,0.32302174614781703
2024-06-26,101.91000366210938,0.00029452698763599017,0.0028519957634341618,142.5500030517578,-0.000490759134945784,0.0015185035523886702,0.1927137741571968
2024-06-27,101.48999786376953,-0.0046096628572321885,0.0033428772309993748,141.75999450683594,-0.007004763508533962,0.00270152834583578,0.17328242921562687
2024-06-28,102.0199966430664,0.004034996853184536,0.0039088413884252335,142.0749969482422,-0.003576882151771099,0.0031590428236808387,-0.12366919958211514
2024-07-01,101.9800033569336,0.005819153475065342,0.003642603635336395,141.47500610351562,-0.00872334015231846,0.003322072312362593,-0.10048446754509444
2024-07-02,101.4800033569336,-0.000590876088760961,0.0045184745584803164,141.0050048828125,-0.009831072704506116,0.0033973074701133922,0.5528609665289473
